SYMBOL,GENENAME,ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
Ncapg,non-SMC condensin I complex,ENSRNOG00000038572,151.3497414,-2.440519959,0.48894786,-4.991370573,6.00E-07,1.34E-05,down
Gsdmc,gasdermin C,ENSRNOG00000054576,7.855770332,-6.244903056,1.938114389,-3.222154013,0.001272307,0.007509053,down
ENSRNOG00000065156,ENSRNOG00000065156,ENSRNOG00000065156,1442.459824,-6.607166711,1.100176915,-6.00554931,1.91E-09,9.42E-08,down
RGD1564696,similar to immunoglobulin light chain variable region,ENSRNOG00000067740,1199.557678,-2.770513752,0.560768119,-4.940569302,7.79E-07,1.68E-05,down
LOC120102552,5S ribosomal RNA,ENSRNOG00000062514,215.6177932,5.529219751,1.643060391,3.365195693,0.000764894,0.005018664,up
ENSRNOG00000064582,ENSRNOG00000064582,ENSRNOG00000064582,1299.368781,-5.211117744,1.337104209,-3.897316089,9.73E-05,0.000941746,down
Tnf,tumor necrosis factor,ENSRNOG00000070745,255.6376296,-2.208122678,0.460133983,-4.798868936,1.60E-06,3.09E-05,down
Cyp46a1,cytochrome P450,ENSRNOG00000007147,190.2546909,2.096116676,0.453235451,4.624785352,3.75E-06,6.36E-05,up
Selplg,selectin P ligand,ENSRNOG00000000699,2725.849819,-2.067675313,0.229511863,-9.009012826,2.08E-19,7.10E-17,down
LOC100910657,sperm motility kinase Y-like,ENSRNOG00000068222,7.09302022,6.435804524,2.13816383,3.009967914,0.002612753,0.013325679,up
Sfmbt2,Scm-like with four mbt domains 2,ENSRNOG00000029235,19.42267537,-7.550796678,1.578652087,-4.783065718,1.73E-06,3.32E-05,down
Il17a,interleukin 17A,ENSRNOG00000012467,9.015655818,-6.445292848,2.045938174,-3.150287203,0.0016311,0.00913825,down
ENSRNOG00000064873,ENSRNOG00000064873,ENSRNOG00000064873,644.6863834,-4.848022122,0.426038012,-11.37931825,5.30E-30,5.85E-27,down
ENSRNOG00000063544,ENSRNOG00000063544,ENSRNOG00000063544,10.31089158,6.975388699,2.038222598,3.422289943,0.000620961,0.004245417,up
ENSRNOG00000055586,ENSRNOG00000055586,ENSRNOG00000055586,56.99919895,2.09635248,0.758963328,2.762126182,0.005742628,0.024597786,up
Pdzd3,PDZ domain containing 3,ENSRNOG00000008526,273.9954318,2.008263606,0.381716694,5.261136431,1.43E-07,3.89E-06,up
Tlr10,toll-like receptor 10,ENSRNOG00000067138,102.9714442,-2.25678726,0.400995045,-5.627967944,1.82E-08,6.61E-07,down
Katnal2,katanin catalytic subunit A1 like 2,ENSRNOG00000017788,542.4760121,2.260385669,0.44436916,5.086729394,3.64E-07,8.55E-06,up
Mmp14,matrix metallopeptidase 14,ENSRNOG00000010947,2218.685504,-2.585092751,0.323868325,-7.981925214,1.44E-15,2.56E-13,down
LOC120095429,small nucleolar RNA SNORA29,ENSRNOG00000053082,65.90580109,3.006824704,0.873775758,3.441185768,0.000579171,0.004025676,up
Cfap276,cilia and flagella associated protein 276,ENSRNOG00000020307,36.20123888,4.779615292,1.646164776,2.903485339,0.003690342,0.017484941,up
Dbh,dopamine beta-hydroxylase,ENSRNOG00000006641,97.12964372,2.615767916,0.524776169,4.984540212,6.21E-07,1.38E-05,up
Rrm2,ribonucleotide reductase regulatory subunit M2,ENSRNOG00000054286,979.8615651,-2.870292269,0.345032723,-8.318898703,8.88E-17,1.98E-14,down
Smim18,small integral membrane protein 18,ENSRNOG00000049689,65.43109858,2.086091731,0.648281804,3.217877962,0.001291428,0.007597909,up
ENSRNOG00000064207,ENSRNOG00000064207,ENSRNOG00000064207,540.4592246,-2.720317094,0.41425482,-6.566772336,5.14E-11,3.79E-09,down
Il4i1,interleukin 4 induced 1,ENSRNOG00000020148,185.9815595,-2.005367377,0.607963871,-3.298497611,0.000972037,0.006048732,down
ENSRNOG00000067079,ENSRNOG00000067079,ENSRNOG00000067079,500.3875266,-4.37913165,1.152832755,-3.798583647,0.000145525,0.001305971,down
Alpk2,alpha-kinase 2,ENSRNOG00000017421,53.45433386,-2.775809889,0.976730757,-2.841939674,0.004483998,0.020309426,down
ENSRNOG00000066031,ENSRNOG00000066031,ENSRNOG00000066031,193.7609068,2.458712132,0.433276616,5.674693816,1.39E-08,5.29E-07,up
H1f8,H1.8 linker histone,ENSRNOG00000025251,6.417009421,-5.952594662,2.100532263,-2.833850623,0.004599082,0.020705797,down
ENSRNOG00000064508,ENSRNOG00000064508,ENSRNOG00000064508,6.819625582,-6.041717039,1.992228789,-3.032642171,0.002424229,0.012544782,down
Cxcl6,C-X-C motif chemokine ligand 6,ENSRNOG00000002843,357.0945615,-3.636802797,0.447543472,-8.126144215,4.43E-16,8.76E-14,down
Oasl,2'-5'-oligoadenylate synthetase-like,ENSRNOG00000001187,862.0628702,-2.109618857,0.307170359,-6.86791155,6.51E-12,5.85E-10,down
LOC102547474,Ig heavy chain V region 1-72-like,ENSRNOG00000067551,941.4272238,-3.528133527,1.149009334,-3.070587351,0.002136382,0.011382105,down
Or13a26b,olfactory receptor family 13 subfamily A member 26B,ENSRNOG00000062789,12.89645021,7.298213008,1.852597077,3.939449705,8.17E-05,0.000820358,up
ENSRNOG00000064728,ENSRNOG00000064728,ENSRNOG00000064728,130.673696,2.480533357,0.485422679,5.110048339,3.22E-07,7.73E-06,up
LOC102549099,uncharacterized LOC102549099,ENSRNOG00000066208,378.2766886,3.281018455,0.623396308,5.263134244,1.42E-07,3.85E-06,up
Ccl1,C-C motif chemokine ligand 1,ENSRNOG00000021851,87.23294937,-5.323882652,1.037066559,-5.133597844,2.84E-07,6.99E-06,down
Bricd5,BRICHOS domain containing 5,ENSRNOG00000009611,88.84137093,3.791686899,0.698183646,5.430787327,5.61E-08,1.75E-06,up
Apoc1,apolipoprotein C1,ENSRNOG00000018426,71.92678291,-2.111617717,0.840437127,-2.512523124,0.011987125,0.044066239,down
Septin3,septin 3,ENSRNOG00000007686,173.1920632,2.407835681,0.618901696,3.890497793,0.000100039,0.000964132,up
Cfap65,cilia and flagella associated protein 65,ENSRNOG00000056996,10334.11786,2.333144461,0.345597954,6.751036673,1.47E-11,1.22E-09,up
LOC102552841,Ig kappa chain V-V region K2-like,ENSRNOG00000064930,978.2238572,-3.062920637,0.373802685,-8.193950345,2.53E-16,5.24E-14,down
Slc9a7,solute carrier family 9 member A7,ENSRNOG00000004150,107.4663363,-2.341099368,0.386253336,-6.06104634,1.35E-09,6.92E-08,down
Cyp11b1,cytochrome P450,ENSRNOG00000068909,14.12006339,-7.091107815,1.857352265,-3.817858329,0.000134615,0.001229215,down
Ttll8,tubulin tyrosine ligase like 8,ENSRNOG00000032311,158.6044798,2.197813566,0.367555239,5.979546296,2.24E-09,1.09E-07,up
