ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000013271,4349.663622,-0.368229491,0.158153873,-2.328298923,0.019896236,0.065624024
ENSRNOG00000013279,1.645420416,-3.993511123,3.930661123,-1.015989677,0.309634303,NA
ENSRNOG00000005058,1036.25852,0.204159268,0.260087442,0.784963959,0.4324747,0.615096972
ENSRNOG00000002229,506.6599712,0.145277572,0.228595219,0.635523232,0.525087219,0.693962844
ENSRNOG00000002227,1456.703818,-1.492330717,0.440467013,-3.38806465,0.000703877,0.004691012
ENSRNOG00000002224,4.047388382,0.816659128,3.462562677,0.235853962,0.813545993,0.895019776
ENSRNOG00000002225,1845.416517,-1.613755448,0.254488206,-6.341179703,2.28E-10,1.47E-08
ENSRNOG00000042918,4.960432273,-0.092880876,2.213407529,-0.041962845,0.966528318,0.98248972
ENSRNOG00000053325,259.6365088,-0.060870142,0.255310685,-0.238415959,0.811558491,0.89405698
ENSRNOG00000042912,887.7546577,1.004564838,0.281233255,3.571998755,0.000354267,0.002675386
ENSRNOG00000042915,495.9155376,0.181651644,0.295751562,0.614203497,0.539080863,0.705472195
ENSRNOG00000042916,1073.732719,-0.274304973,0.20444497,-1.341705657,0.179691452,0.340039041
ENSRNOG00000067693,932.0621285,0.38301245,0.206401925,1.855663163,0.063501585,0.159558396
ENSRNOG00000016912,17214.21653,0.002944771,0.176416939,0.01669211,0.986682242,0.992816615
ENSRNOG00000005947,381.2817848,0.985620045,0.683342846,1.442350719,0.149203459,0.297930837
ENSRNOG00000005944,26.53282686,1.83020656,0.873985133,2.094093469,0.036251655,0.104674728
ENSRNOG00000067696,18.25188595,-1.365822126,1.219127731,-1.120327338,0.262574296,0.443625795
ENSRNOG00000030012,127.3921686,-1.967087994,0.498724526,-3.944237528,8.01E-05,0.000808902
ENSRNOG00000030016,49.59841452,0.364893008,2.878989936,0.126743412,0.899143485,0.944666188
ENSRNOG00000030017,1113.919038,0.269453346,0.18354496,1.468050909,0.142090395,0.287767537
ENSRNOG00000030019,30176.49411,-0.897975817,0.226257467,-3.968822902,7.22E-05,0.000743024
ENSRNOG00000057805,11.82493592,1.367105215,1.358678072,1.006202458,0.31431819,0.5004852
ENSRNOG00000057806,3343.399127,0.024571203,0.17488818,0.140496645,0.888267603,0.937979413
ENSRNOG00000031760,95.36127023,0.369713466,0.498990329,0.740923109,0.458740063,0.638853642
ENSRNOG00000031766,289379.8751,1.866078782,0.242198947,7.704735333,1.31E-14,1.85E-12
ENSRNOG00000031769,531.0200865,0.048471839,0.214839893,0.225618428,0.821498207,0.900023771
ENSRNOG00000029814,56.06111904,0.287316987,0.738377723,0.389119252,0.697187933,0.821296747
ENSRNOG00000029813,5167.523087,0.291914871,0.143792714,2.030108917,0.042345469,0.117533093
ENSRNOG00000029810,3359.227235,0.309590197,0.263835488,1.173421363,0.240626875,0.417092507
ENSRNOG00000029811,1695.08613,-0.604604762,0.353754358,-1.709109015,0.087430758,0.203386213
ENSRNOG00000038574,1141.571603,1.35290879,0.444719101,3.042164789,0.002348833,0.012232173
ENSRNOG00000038572,151.3497414,-2.440519959,0.48894786,-4.991370573,6.00E-07,1.34E-05
ENSRNOG00000015541,68.87741039,0.182937784,1.188584275,0.153912337,0.877678856,0.932205391
ENSRNOG00000015540,3393.538448,-0.654855927,0.268294624,-2.440808976,0.014654404,0.051501644
ENSRNOG00000015546,1313.779162,0.848751283,0.302734551,2.803615511,0.005053313,0.022259712
ENSRNOG00000015544,508.9789072,0.119808146,0.274306275,0.436767794,0.662279758,0.800466116
ENSRNOG00000011653,4092.717736,-0.13590146,0.18589934,-0.731048645,0.464749441,0.643546688
ENSRNOG00000011652,1649.272883,-1.233076095,0.204678012,-6.024467814,1.70E-09,8.49E-08
ENSRNOG00000011657,6.677188423,0.133579097,1.627491332,0.082076687,0.934585732,0.964114101
ENSRNOG00000011655,740.868182,-0.321918121,0.209776965,-1.534573263,0.124888685,0.262178258
ENSRNOG00000011654,342.5171714,-0.970437458,0.281472506,-3.447716697,0.000565347,0.003947125
ENSRNOG00000011659,668.2720836,-0.285560801,0.272871053,-1.046504557,0.295328142,0.481070457
ENSRNOG00000011658,599.1480528,0.173551772,0.21768194,0.797272255,0.42529293,0.608802857
ENSRNOG00000070441,1.452851278,-3.807287287,3.933941832,-0.967804673,0.33314193,NA
ENSRNOG00000039191,2.164321506,-1.228049029,3.218561869,-0.381552096,0.702793622,NA
ENSRNOG00000000166,535.600188,0.288607611,0.240079251,1.202134754,0.229311323,0.404082108
ENSRNOG00000000164,9874.777194,-1.095276526,0.259303067,-4.223924308,2.40E-05,0.000301697
ENSRNOG00000037687,8.368548979,-1.86203195,2.012961578,-0.925021108,0.354954928,0.542717999
ENSRNOG00000037688,2873.303546,1.959409723,0.345661383,5.668581502,1.44E-08,5.44E-07
ENSRNOG00000068224,187.4274037,-0.495954339,0.326932393,-1.516993575,0.129268306,0.269223657
ENSRNOG00000018077,6004.389363,0.413109321,0.177428096,2.328319646,0.019895137,0.065624024
ENSRNOG00000018070,15.07302956,2.159858353,1.816625275,1.188939944,0.2344633,0.410196067
ENSRNOG00000049604,999.089222,-0.304630353,0.166222395,-1.832667331,0.066852058,0.166235834
ENSRNOG00000068220,17750.03222,0.352073673,0.158352874,2.223348808,0.026192289,0.081278352
ENSRNOG00000068221,3621.526118,-2.070094459,1.555963438,-1.330426158,0.183377901,0.345448195
ENSRNOG00000054576,7.855770332,-6.244903056,1.938114389,-3.222154013,0.001272307,0.007509053
ENSRNOG00000010421,1281.796586,-0.587483702,0.282244519,-2.081470719,0.037390842,0.107090108
ENSRNOG00000016381,33.51157701,-1.47066746,1.163791067,-1.263686844,0.206342449,0.376250305
ENSRNOG00000016383,3411.701316,-0.003286916,0.159572784,-0.020598226,0.983566156,0.9911686
ENSRNOG00000016384,3660.492083,-0.134505943,0.142913569,-0.941169855,0.346617822,0.533769634
ENSRNOG00000016385,3.584299755,5.451060035,3.920844431,1.390277052,0.164444764,0.319231309
ENSRNOG00000016387,10031.45756,-0.224899675,0.171589417,-1.310685,0.189964208,0.353738152
ENSRNOG00000016388,31.11796819,-1.399395947,0.679261724,-2.060171943,0.039382106,0.11144959
ENSRNOG00000069588,5861.328817,1.270667781,0.316954888,4.008986232,6.10E-05,0.000650709
ENSRNOG00000069589,3478.533896,0.279188289,0.153493653,1.818891422,0.068927997,0.170068894
ENSRNOG00000047171,1386.153779,0.478584103,0.20186559,2.370805757,0.017749356,0.059932809
ENSRNOG00000022899,2.493863787,-4.588955687,3.605386899,-1.272805337,0.203087127,NA
ENSRNOG00000047179,17343.58386,-0.211782666,0.23545345,-0.899467245,0.368403835,0.555701976
ENSRNOG00000022896,2946.909501,0.021541371,0.157696058,0.136600567,0.891346528,0.940120209
ENSRNOG00000022894,2117.900178,0.367030189,0.170256979,2.155742407,0.031103785,0.093296446
ENSRNOG00000022893,717.6334186,0.480047597,0.346207862,1.386587798,0.165567491,0.320773104
ENSRNOG00000022890,0.548473472,-2.41386951,3.977748466,-0.606843175,0.543954992,NA
ENSRNOG00000016311,289.7039379,0.766652957,0.468535407,1.636275393,0.101781964,0.227099956
ENSRNOG00000046803,486.7091938,-0.153902065,0.270094582,-0.569808044,0.568807899,0.729163368
ENSRNOG00000021272,78.13900338,-0.142245716,0.514829919,-0.276296522,0.782320327,0.877280532
ENSRNOG00000021273,1078.68175,0.330162689,0.206625701,1.597878128,0.110070103,0.240341487
ENSRNOG00000021270,1457.944233,-0.150805613,0.187024116,-0.806343139,0.420045023,0.604609773
ENSRNOG00000021274,26.61760467,-0.256341733,1.463114975,-0.175202727,0.860920342,0.922699007
ENSRNOG00000070481,1.437806786,4.145903633,3.941459016,1.051870289,0.292859065,NA
ENSRNOG00000056328,4.770852568,0.690182394,2.174897071,0.317340256,0.750985435,0.857499121
ENSRNOG00000056323,7.50687647,1.660928129,1.297302298,1.280293831,0.200441817,0.368641719
ENSRNOG00000053136,10.48197992,-0.327841063,1.471747028,-0.222756396,0.823725106,0.901878538
