,SYMBOL,ENSEMBL
1,Adora1,ENSRNOG00000003442
2,Adrb2,NA
3,Adh5,ENSRNOG00000046357
4,Alox5,ENSRNOG00000012972
5,Alox5ap,ENSRNOG00000000907
6,Abcb1a,ENSRNOG00000008012
7,Btk,ENSRNOG00000052407
8,Ccr3,ENSRNOG00000006736
9,Ccr4,ENSRNOG00000010315
10,Cd36,ENSRNOG00000005906
11,Cd6,ENSRNOG00000020884
12,Cmklr1,ENSRNOG00000000704
13,Chia,ENSRNOG00000033162
14,LOC102551851,NA
15,Chrm3,ENSRNOG00000049410
16,Chrna7,ENSRNOG00000010853
17,Csf2,ENSRNOG00000026805
18,Cysltr1,ENSRNOG00000037845
19,Cysltr2,ENSRNOG00000067464
20,Crlf2,ENSRNOG00000049828
21,Fdps,ENSRNOG00000043377
22,Fgfr3,ENSRNOG00000016818
23,Gpr35,ENSRNOG00000062887
24,Gabra5,ENSRNOG00000010803
25,Gata3,ENSRNOG00000019336
26,Gapdh,ENSRNOG00000018630
27,Hrh1,ENSRNOG00000007420
28,Ido1,ENSRNOG00000031189
29,Ins2,ENSRNOG00000020405
30,Icam1,ENSRNOG00000020679
31,Ifng,ENSRNOG00000007468
32,Il1rl1,ENSRNOG00000014835
33,Il10,ENSRNOG00000004647
34,Il13,ENSRNOG00000007652
35,Il13ra1,ENSRNOG00000013170
36,LOC100360218,NA
37,Il17a,ENSRNOG00000012467
38,Il2,ENSRNOG00000017348
39,Il33,ENSRNOG00000016456
40,Il4,ENSRNOG00000007624
41,Il5,ENSRNOG00000008111
42,Il5ra,ENSRNOG00000005954
43,Jak1,ENSRNOG00000011157
44,Kit,ENSRNOG00000002227
45,Ltb4r,NA
46,Lyn,ENSRNOG00000008180
47,Mif,ENSRNOG00000006589
48,Mmp12,ENSRNOG00000030187
49,Nr3c1,ENSRNOG00000014096
50,Pparg,ENSRNOG00000008839
51,Pik3cd,ENSRNOG00000016846
52,Pik3cg,ENSRNOG00000009385
53,Pde10a,ENSRNOG00000011310
54,Kcna3,ENSRNOG00000062002
55,Ptgdr2,ENSRNOG00000036631
56,Ptpn4,ENSRNOG00000002625
57,Stat6,ENSRNOG00000025023
58,Scn5a,ENSRNOG00000015049
59,Scn9a,ENSRNOG00000006639
60,Slc22a12,ENSRNOG00000021108
61,Tigit,ENSRNOG00000056574
62,Tbxas1,ENSRNOG00000007918
63,Tslp,NA
64,Tlr4,ENSRNOG00000010522
65,Trpa1,ENSRNOG00000007354
66,Trpv1,ENSRNOG00000019486
67,Trpv2,ENSRNOG00000003104
68,Tpsb2,ENSRNOG00000018611
69,Tnf,ENSRNOG00000070745
70,Vcam1,ENSRNOG00000014333
71,Vdr,ENSRNOG00000054420
72,Xdh,ENSRNOG00000007081
