SYMBOL,GENENAME,ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
LOC691815,Ig heavy chain V region PJ14-like,ENSRNOG00000066796,280.5162148,-11.40403965,2.700547088,-4.222862731,2.41e-05,0.000302717,down
ENSRNOG00000067010,ENSRNOG00000067010,ENSRNOG00000067010,248.3260978,-11.22824556,1.979092462,-5.673431525,1.4e-08,5.32e-07,down
Zbtb22,zinc finger and BTB domain containing 22,ENSRNOG00000000476,236.0007154,-11.15486394,2.403082097,-4.641898813,3.45e-06,5.95e-05,down
ENSRNOG00000065675,ENSRNOG00000065675,ENSRNOG00000065675,168.372175,-10.66759822,2.407840398,-4.430359352,9.41e-06,0.000138416,down
LOC102548737,Ig kappa chain V-V region K2-like,ENSRNOG00000070208,145.2316266,-10.45397597,1.394289984,-7.497705708,6.49e-14,8.07e-12,down
Mrps17,mitochondrial ribosomal protein S17,ENSRNOG00000000926,88.23449823,-9.735180983,1.272047495,-7.653158407,1.96e-14,2.71e-12,down
ENSRNOG00000065191,ENSRNOG00000065191,ENSRNOG00000065191,67.19583318,-9.341790176,1.614814917,-5.785053183,7.25e-09,3.02e-07,down
Nefl,neurofilament light chain,ENSRNOG00000013658,63.73238094,-9.266260077,1.295789679,-7.15105254,8.61e-13,9.27e-11,down
ENSRNOG00000069909,ENSRNOG00000069909,ENSRNOG00000069909,33.18193742,-8.323506838,1.616077404,-5.150438227,2.6e-07,6.41e-06,down
LOC100359793,mCG1050586-like,ENSRNOG00000065476,32.19950674,-8.280163768,1.69939652,-4.87241422,1.1e-06,2.24e-05,down
Mmp7,matrix metallopeptidase 7,ENSRNOG00000010507,30.05329573,-8.181674002,1.556424487,-5.256711182,1.47e-07,3.96e-06,down
Dmgdh,dimethylglycine dehydrogenase,ENSRNOG00000023588,29.75289508,-8.166172635,1.483735829,-5.503791493,3.72e-08,1.24e-06,down
Cntn1,contactin 1,ENSRNOG00000004438,28.8360204,-8.123096494,1.538524767,-5.279795728,1.29e-07,3.57e-06,down
LOC299411,immunoglobulin heavy variable 3-30-like,ENSRNOG00000065406,1232.256552,-7.741907504,1.638611549,-4.724675295,2.3e-06,4.23e-05,down
ENSRNOG00000063417,ENSRNOG00000063417,ENSRNOG00000063417,19.90177759,-7.587798014,2.223325513,-3.412814709,0.000642956,0.004362437,down
Sfmbt2,Scm-like with four mbt domains 2,ENSRNOG00000029235,19.42267537,-7.550796678,1.578652087,-4.783065718,1.73e-06,3.32e-05,down
Ly6d,lymphocyte antigen 6 family member D,ENSRNOG00000026133,19.05917186,-7.523795282,1.75071548,-4.297554553,1.73e-05,0.000231251,down
Gfap,glial fibrillary acidic protein,ENSRNOG00000002919,18.17525981,-7.45538161,1.566182658,-4.760224852,1.93e-06,3.66e-05,down
Tmem52b,transmembrane protein 52B,ENSRNOG00000058653,16.9877065,-7.359430122,1.589490406,-4.630056334,3.66e-06,6.23e-05,down
Serpina3a,serine (or cysteine) peptidase inhibitor,ENSRNOG00000048191,16.37307941,-7.305555466,1.572264201,-4.646518989,3.38e-06,5.86e-05,down
Marco,macrophage receptor with collagenous structure,ENSRNOG00000049303,16.21182393,-7.291037042,1.736844006,-4.197865217,2.69e-05,0.000330839,down
ENSRNOG00000070986,ENSRNOG00000070986,ENSRNOG00000070986,14.88732283,-7.167659548,2.306435251,-3.107678633,0.00188563,0.010317929,down
Ifng,interferon gamma,ENSRNOG00000007468,14.26278964,-7.10624691,1.723589365,-4.122934996,3.74e-05,0.000433758,down
Cyp11b1,cytochrome P450,ENSRNOG00000068909,14.12006339,-7.091107815,1.857352265,-3.817858329,0.000134615,0.001229215,down
Klk6,kallikrein related-peptidase 6,ENSRNOG00000031927,13.89880247,-7.06912409,2.449720981,-2.885685409,0.003905623,0.018230774,down
Np4,defensin NP-4 precursor,ENSRNOG00000069755,13.04127527,-6.97878036,1.918333688,-3.637938699,0.000274829,0.002185361,down
ENSRNOG00000068059,ENSRNOG00000068059,ENSRNOG00000068059,12.98667857,-6.970024316,2.507018631,-2.780204435,0.005432469,0.02359222,down
Rimbp3,RIMS binding protein 3,ENSRNOG00000030452,12.95847045,-6.966762718,1.910350226,-3.646851046,0.000265474,0.002123061,down
Tsbp1,testis expressed basic protein 1,ENSRNOG00000039398,12.78195745,-6.948492796,1.972708841,-3.522310364,0.000427803,0.003139786,down
Sucnr1,succinate receptor 1,ENSRNOG00000014039,12.67404378,-6.936193107,1.765297258,-3.929192704,8.52e-05,0.00084978,down
