ENSEMBL,五味子,前胡,枇杷叶,牛蒡子,紫苏叶,紫苏子,麻黄
ENSRNOG00000000007,0,0,0,0,0,0,1
ENSRNOG00000000185,0,0,1,0,0,0,0
ENSRNOG00000000186,0,0,1,0,0,0,0
ENSRNOG00000000435,0,1,1,0,0,1,1
ENSRNOG00000000568,0,1,0,0,0,0,0
ENSRNOG00000000604,0,0,0,0,0,0,1
ENSRNOG00000000658,0,0,1,0,0,0,0
ENSRNOG00000000907,0,0,0,0,0,1,0
ENSRNOG00000000981,1,0,0,0,0,1,0
ENSRNOG00000001115,0,1,0,0,0,0,0
ENSRNOG00000001153,0,0,0,0,1,2,1
ENSRNOG00000001158,1,0,0,0,0,1,0
ENSRNOG00000001302,0,1,0,0,0,0,0
ENSRNOG00000001338,0,0,0,0,1,0,0
ENSRNOG00000001440,2,0,2,0,0,0,0
ENSRNOG00000001480,0,0,0,0,0,0,1
ENSRNOG00000002194,1,0,0,0,0,0,1
ENSRNOG00000002331,0,1,1,2,0,0,2
ENSRNOG00000002342,0,1,0,1,0,0,1
ENSRNOG00000002525,1,1,1,0,0,2,1
ENSRNOG00000002657,0,0,0,0,1,2,1
ENSRNOG00000002708,0,0,0,1,0,0,0
ENSRNOG00000002840,1,1,1,1,0,0,1
ENSRNOG00000002848,0,0,1,1,0,0,1
ENSRNOG00000002911,2,1,0,1,0,1,0
ENSRNOG00000002922,0,1,0,0,0,0,0
ENSRNOG00000002937,0,1,0,0,0,0,1
ENSRNOG00000003070,0,0,0,0,0,0,1
ENSRNOG00000003163,0,0,1,0,0,0,0
ENSRNOG00000003164,0,0,0,0,1,2,1
ENSRNOG00000003253,0,0,0,0,1,0,0
ENSRNOG00000003442,0,1,0,0,0,0,0
ENSRNOG00000003463,1,1,1,0,0,2,1
ENSRNOG00000003491,0,0,0,0,0,1,0
ENSRNOG00000003512,0,0,0,0,0,0,1
ENSRNOG00000003554,0,0,0,0,0,0,1
ENSRNOG00000003653,1,0,1,0,0,0,0
ENSRNOG00000003815,0,0,1,0,0,0,0
ENSRNOG00000003866,0,1,0,0,0,0,0
ENSRNOG00000004027,0,1,0,1,0,0,1
ENSRNOG00000004111,1,0,0,0,0,1,0
ENSRNOG00000004296,0,1,0,0,0,0,0
ENSRNOG00000004327,0,0,0,0,1,0,1
ENSRNOG00000004473,0,0,0,0,0,1,1
ENSRNOG00000005250,1,0,0,0,0,1,0
ENSRNOG00000005343,0,1,0,0,0,0,0
ENSRNOG00000005420,1,0,0,0,0,1,0
ENSRNOG00000005542,1,0,0,0,0,1,0
ENSRNOG00000005849,1,0,1,0,0,0,0
ENSRNOG00000005906,0,3,3,0,3,6,6
ENSRNOG00000005981,0,1,0,0,0,0,0
ENSRNOG00000006367,0,0,0,0,0,0,1
ENSRNOG00000006460,0,0,0,0,0,0,1
ENSRNOG00000006744,0,0,0,0,0,0,1
ENSRNOG00000006787,1,0,0,0,0,1,0
ENSRNOG00000006916,0,0,0,1,0,0,0
ENSRNOG00000007069,0,0,0,0,0,0,1
ENSRNOG00000007081,1,0,0,0,0,0,0
ENSRNOG00000007102,0,1,0,1,0,0,1
ENSRNOG00000007147,1,0,0,0,0,1,0
ENSRNOG00000007213,0,0,0,0,1,0,0
ENSRNOG00000007234,0,0,0,0,0,1,0
ENSRNOG00000007316,1,0,1,0,0,0,0
ENSRNOG00000007354,0,0,1,0,2,1,1
ENSRNOG00000007390,0,1,0,1,0,0,0
ENSRNOG00000007395,0,1,1,0,0,1,1
ENSRNOG00000007400,1,0,0,0,0,1,0
ENSRNOG00000007415,1,0,0,0,0,1,0
ENSRNOG00000007447,0,0,0,0,1,2,1
ENSRNOG00000007545,0,0,0,0,0,1,1
ENSRNOG00000007570,0,1,0,1,0,0,0
ENSRNOG00000007647,0,1,0,0,0,0,0
ENSRNOG00000007967,0,0,1,0,0,0,0
ENSRNOG00000008074,1,0,0,0,0,1,0
ENSRNOG00000008103,0,0,1,0,0,0,0
ENSRNOG00000008135,0,0,0,0,1,2,1
ENSRNOG00000008223,0,1,0,0,0,0,0
ENSRNOG00000008364,0,0,1,1,0,0,2
ENSRNOG00000008428,0,1,0,0,0,0,0
ENSRNOG00000008755,0,0,0,0,1,2,2
ENSRNOG00000008798,0,0,0,1,0,0,0
ENSRNOG00000008862,1,0,0,0,0,1,0
ENSRNOG00000008895,0,0,1,0,0,0,1
ENSRNOG00000008902,0,0,0,0,0,0,1
ENSRNOG00000008988,0,0,0,1,0,0,0
ENSRNOG00000009096,0,0,0,0,0,0,1
ENSRNOG00000009112,0,0,0,0,0,0,1
ENSRNOG00000009227,0,1,0,0,0,0,0
ENSRNOG00000009250,0,1,0,1,0,0,0
ENSRNOG00000009348,1,1,1,0,0,2,2
ENSRNOG00000009629,0,0,0,0,0,0,1
ENSRNOG00000009715,1,0,1,0,0,0,0
ENSRNOG00000009730,1,0,0,0,0,1,0
ENSRNOG00000009826,0,0,0,0,0,0,1
ENSRNOG00000009845,0,0,0,0,1,2,2
ENSRNOG00000009912,1,0,0,0,0,1,0
ENSRNOG00000009946,1,0,0,0,0,1,0
ENSRNOG00000009982,0,1,0,0,0,0,0
ENSRNOG00000009997,0,0,0,0,1,0,0
ENSRNOG00000010063,0,1,1,0,0,1,1
ENSRNOG00000010134,0,3,1,0,2,4,3
ENSRNOG00000010265,0,1,0,0,0,0,0
ENSRNOG00000010277,1,0,1,0,0,0,0
ENSRNOG00000010278,0,0,0,0,0,0,1
ENSRNOG00000010325,0,1,0,0,0,0,0
ENSRNOG00000010337,1,0,1,0,0,0,0
ENSRNOG00000010475,1,2,1,1,0,0,2
