inchikey,combined_score,ENSEMBL,SYMBOL,中文名,Chinese Name,Pinyin Name,Siqi,Wuwei,Meridians,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IKHGUXGNUITLKF-UHFFFAOYSA-N,995,ENSRNOG00000032959,Adh7,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",115.2263803,2.243121921,0.776303056,2.889492582,0.003858641,0.018074383
IKHGUXGNUITLKF-UHFFFAOYSA-N,995,ENSRNOG00000032959,Adh7,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,115.2263803,2.243121921,0.776303056,2.889492582,0.003858641,0.018074383
IKHGUXGNUITLKF-UHFFFAOYSA-N,994,ENSRNOG00000046357,Adh4,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",2557.567795,-0.358698748,0.215968853,-1.660881847,0.096737179,0.218910984
IKHGUXGNUITLKF-UHFFFAOYSA-N,994,ENSRNOG00000046357,Adh4,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,2557.567795,-0.358698748,0.215968853,-1.660881847,0.096737179,0.218910984
IKHGUXGNUITLKF-UHFFFAOYSA-N,994,ENSRNOG00000046357,Adh5,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",2557.567795,-0.358698748,0.215968853,-1.660881847,0.096737179,0.218910984
IKHGUXGNUITLKF-UHFFFAOYSA-N,994,ENSRNOG00000046357,Adh5,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,2557.567795,-0.358698748,0.215968853,-1.660881847,0.096737179,0.218910984
IKHGUXGNUITLKF-UHFFFAOYSA-N,984,ENSRNOG00000069176,Adh6,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",1.706483399,0.919631234,3.841360503,0.239402481,0.810793507,
IKHGUXGNUITLKF-UHFFFAOYSA-N,984,ENSRNOG00000069176,Adh6,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,1.706483399,0.919631234,3.841360503,0.239402481,0.810793507,
IKHGUXGNUITLKF-UHFFFAOYSA-N,991,ENSRNOG00000014645,Aldh7a1,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",1581.212219,-0.625624309,0.224984514,-2.78074387,0.005423451,0.023569413
IKHGUXGNUITLKF-UHFFFAOYSA-N,991,ENSRNOG00000014645,Aldh7a1,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,1581.212219,-0.625624309,0.224984514,-2.78074387,0.005423451,0.023569413
IKHGUXGNUITLKF-UHFFFAOYSA-N,975,ENSRNOG00000045615,LOC688286,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",297.4470862,0.267316966,0.286344317,0.933550799,0.350535655,0.537839448
IKHGUXGNUITLKF-UHFFFAOYSA-N,975,ENSRNOG00000045615,LOC688286,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,297.4470862,0.267316966,0.286344317,0.933550799,0.350535655,0.537839448
IKHGUXGNUITLKF-UHFFFAOYSA-N,999,ENSRNOG00000037815,Aldh2,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",14896.40171,0.116504233,0.222085458,0.524591901,0.599866918,0.754352078
IKHGUXGNUITLKF-UHFFFAOYSA-N,999,ENSRNOG00000037815,Aldh2,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,14896.40171,0.116504233,0.222085458,0.524591901,0.599866918,0.754352078
IKHGUXGNUITLKF-UHFFFAOYSA-N,999,ENSRNOG00000037815,Acad10,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",14896.40171,0.116504233,0.222085458,0.524591901,0.599866918,0.754352078
IKHGUXGNUITLKF-UHFFFAOYSA-N,999,ENSRNOG00000037815,Acad10,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,14896.40171,0.116504233,0.222085458,0.524591901,0.599866918,0.754352078
IKHGUXGNUITLKF-UHFFFAOYSA-N,961,ENSRNOG00000002911,Alb,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",0.439792295,-2.088652181,3.995490486,-0.522752385,0.601146578,
IKHGUXGNUITLKF-UHFFFAOYSA-N,961,ENSRNOG00000002911,Alb,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,0.439792295,-2.088652181,3.995490486,-0.522752385,0.601146578,
IKHGUXGNUITLKF-UHFFFAOYSA-N,995,ENSRNOG00000017619,Aldh1a1,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",38696.86994,1.946896319,0.355262553,5.480161935,4.25e-08,1.41e-06
IKHGUXGNUITLKF-UHFFFAOYSA-N,995,ENSRNOG00000017619,Aldh1a1,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,38696.86994,1.946896319,0.355262553,5.480161935,4.25e-08,1.41e-06
IKHGUXGNUITLKF-UHFFFAOYSA-N,996,ENSRNOG00000012458,Cyp2e1,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",1440.966615,1.228053404,0.320733209,3.828893825,0.000128721,0.001182868
IKHGUXGNUITLKF-UHFFFAOYSA-N,996,ENSRNOG00000012458,Cyp2e1,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,1440.966615,1.228053404,0.320733209,3.828893825,0.000128721,0.001182868
IKHGUXGNUITLKF-UHFFFAOYSA-N,955,ENSRNOG00000007390,Nfkbia,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",10801.87642,-0.554766286,0.286012117,-1.939660082,0.052421014,0.138301309
IKHGUXGNUITLKF-UHFFFAOYSA-N,955,ENSRNOG00000007390,Nfkbia,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,10801.87642,-0.554766286,0.286012117,-1.939660082,0.052421014,0.138301309
IKHGUXGNUITLKF-UHFFFAOYSA-N,995,ENSRNOG00000016727,Akr1a1,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",28438.30618,-0.2680437,0.143803664,-1.863955992,0.062327885,0.157637573
IKHGUXGNUITLKF-UHFFFAOYSA-N,995,ENSRNOG00000016727,Akr1a1,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,28438.30618,-0.2680437,0.143803664,-1.863955992,0.062327885,0.157637573
IKHGUXGNUITLKF-UHFFFAOYSA-N,999,ENSRNOG00000002331,Aldh3a1,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",144.3204592,1.28446943,0.488563774,2.629072187,0.008561818,0.033832789
IKHGUXGNUITLKF-UHFFFAOYSA-N,999,ENSRNOG00000002331,Aldh3a1,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,144.3204592,1.28446943,0.488563774,2.629072187,0.008561818,0.033832789
IKHGUXGNUITLKF-UHFFFAOYSA-N,990,ENSRNOG00000004027,Aldh9a1,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",4744.589617,-0.168041003,0.212786897,-0.789714995,0.429694232,0.612581025
IKHGUXGNUITLKF-UHFFFAOYSA-N,990,ENSRNOG00000004027,Aldh9a1,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,4744.589617,-0.168041003,0.212786897,-0.789714995,0.429694232,0.612581025
IKHGUXGNUITLKF-UHFFFAOYSA-N,997,ENSRNOG00000011497,Aldh1b1,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",5.236430972,-5.65979984,2.893323405,-1.956158731,0.050446458,0.134459964
IKHGUXGNUITLKF-UHFFFAOYSA-N,997,ENSRNOG00000011497,Aldh1b1,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,5.236430972,-5.65979984,2.893323405,-1.956158731,0.050446458,0.134459964
IKHGUXGNUITLKF-UHFFFAOYSA-N,992,ENSRNOG00000017512,Aldh3b1,牛蒡子,牛蒡子,NIU BANG ZI,Cold,"Pungent,Bitter","Lung,Stomach",2010.680294,0.985074676,0.314466843,3.132523183,0.001733107,0.009611179
IKHGUXGNUITLKF-UHFFFAOYSA-N,992,ENSRNOG00000017512,Aldh3b1,前胡,前胡,QIAN HU,Minor cold,"Pungent,Bitter",Lung,2010.680294,0.985074676,0.314466843,3.132523183,0.001733107,0.009611179
