ENSEMBL,Cold,Minor cold,Pungent,Warm
ENSRNOG00000000007,0,0,0,1
ENSRNOG00000000185,0,1,0,0
ENSRNOG00000000186,0,1,0,0
ENSRNOG00000000435,0,2,1,1
ENSRNOG00000000568,0,1,0,0
ENSRNOG00000000604,0,0,0,1
ENSRNOG00000000658,0,1,0,0
ENSRNOG00000000907,0,0,1,0
ENSRNOG00000000981,0,0,1,1
ENSRNOG00000001115,0,1,0,0
ENSRNOG00000001153,0,0,2,2
ENSRNOG00000001158,0,0,1,1
ENSRNOG00000001302,0,1,0,0
ENSRNOG00000001338,0,0,0,1
ENSRNOG00000001440,0,2,0,2
ENSRNOG00000001480,0,0,0,1
ENSRNOG00000002194,0,0,0,2
ENSRNOG00000002331,2,2,0,2
ENSRNOG00000002342,1,1,0,1
ENSRNOG00000002525,0,2,2,2
ENSRNOG00000002657,0,0,2,2
ENSRNOG00000002708,1,0,0,0
ENSRNOG00000002840,1,2,0,2
ENSRNOG00000002848,1,1,0,1
ENSRNOG00000002911,1,1,1,2
ENSRNOG00000002922,0,1,0,0
ENSRNOG00000002937,0,1,0,1
ENSRNOG00000003070,0,0,0,1
ENSRNOG00000003163,0,1,0,0
ENSRNOG00000003164,0,0,2,2
ENSRNOG00000003253,0,0,0,1
ENSRNOG00000003442,0,1,0,0
ENSRNOG00000003463,0,2,2,2
ENSRNOG00000003491,0,0,1,0
ENSRNOG00000003512,0,0,0,1
ENSRNOG00000003554,0,0,0,1
ENSRNOG00000003653,0,1,0,1
ENSRNOG00000003815,0,1,0,0
ENSRNOG00000003866,0,1,0,0
ENSRNOG00000004027,1,1,0,1
ENSRNOG00000004111,0,0,1,1
ENSRNOG00000004296,0,1,0,0
ENSRNOG00000004327,0,0,0,2
ENSRNOG00000004473,0,0,1,1
ENSRNOG00000005250,0,0,1,1
ENSRNOG00000005343,0,1,0,0
ENSRNOG00000005420,0,0,1,1
ENSRNOG00000005542,0,0,1,1
ENSRNOG00000005849,0,1,0,1
ENSRNOG00000005906,0,6,6,9
ENSRNOG00000005981,0,1,0,0
ENSRNOG00000006367,0,0,0,1
ENSRNOG00000006460,0,0,0,1
ENSRNOG00000006744,0,0,0,1
ENSRNOG00000006787,0,0,1,1
ENSRNOG00000006916,1,0,0,0
ENSRNOG00000007069,0,0,0,1
ENSRNOG00000007081,0,0,0,1
ENSRNOG00000007102,1,1,0,1
ENSRNOG00000007147,0,0,1,1
ENSRNOG00000007213,0,0,0,1
ENSRNOG00000007234,0,0,1,0
ENSRNOG00000007316,0,1,0,1
ENSRNOG00000007354,0,1,1,3
ENSRNOG00000007390,1,1,0,0
ENSRNOG00000007395,0,2,1,1
ENSRNOG00000007400,0,0,1,1
ENSRNOG00000007415,0,0,1,1
ENSRNOG00000007447,0,0,2,2
ENSRNOG00000007545,0,0,1,1
ENSRNOG00000007570,1,1,0,0
ENSRNOG00000007647,0,1,0,0
ENSRNOG00000007967,0,1,0,0
ENSRNOG00000008074,0,0,1,1
ENSRNOG00000008103,0,1,0,0
ENSRNOG00000008135,0,0,2,2
ENSRNOG00000008223,0,1,0,0
ENSRNOG00000008364,1,1,0,2
ENSRNOG00000008428,0,1,0,0
ENSRNOG00000008755,0,0,2,3
ENSRNOG00000008798,1,0,0,0
ENSRNOG00000008862,0,0,1,1
ENSRNOG00000008895,0,1,0,1
ENSRNOG00000008902,0,0,0,1
ENSRNOG00000008988,1,0,0,0
ENSRNOG00000009096,0,0,0,1
ENSRNOG00000009112,0,0,0,1
ENSRNOG00000009227,0,1,0,0
ENSRNOG00000009250,1,1,0,0
ENSRNOG00000009348,0,2,2,3
ENSRNOG00000009629,0,0,0,1
ENSRNOG00000009715,0,1,0,1
ENSRNOG00000009730,0,0,1,1
ENSRNOG00000009826,0,0,0,1
ENSRNOG00000009845,0,0,2,3
ENSRNOG00000009912,0,0,1,1
ENSRNOG00000009946,0,0,1,1
ENSRNOG00000009982,0,1,0,0
ENSRNOG00000009997,0,0,0,1
ENSRNOG00000010063,0,2,1,1
ENSRNOG00000010134,0,4,4,5
ENSRNOG00000010265,0,1,0,0
ENSRNOG00000010277,0,1,0,1
ENSRNOG00000010278,0,0,0,1
ENSRNOG00000010325,0,1,0,0
ENSRNOG00000010337,0,1,0,1
ENSRNOG00000010475,1,3,0,3
ENSRNOG00000010522,0,0,0,1
ENSRNOG00000010574,1,1,0,0
ENSRNOG00000010580,0,4,3,4
ENSRNOG00000010633,0,2,4,4
ENSRNOG00000010655,0,0,1,1
ENSRNOG00000010756,0,0,0,1
ENSRNOG00000010805,0,2,3,2
ENSRNOG00000011053,0,0,1,0
ENSRNOG00000011071,0,1,0,0
ENSRNOG00000011107,0,0,0,1
ENSRNOG00000011164,0,0,0,2
ENSRNOG00000011189,0,0,0,1
ENSRNOG00000011381,0,2,1,1
ENSRNOG00000011497,1,1,0,1
ENSRNOG00000011726,0,0,0,1
ENSRNOG00000011782,0,0,0,1
ENSRNOG00000011861,0,0,0,1
ENSRNOG00000012027,0,1,1,2
ENSRNOG00000012061,0,0,1,0
ENSRNOG00000012081,0,0,0,1
ENSRNOG00000012123,0,0,1,1
ENSRNOG00000012281,0,0,0,1
ENSRNOG00000012295,0,0,1,2
ENSRNOG00000012325,0,1,0,0
ENSRNOG00000012443,0,2,1,1
ENSRNOG00000012458,2,4,1,3
ENSRNOG00000012616,0,2,1,1
ENSRNOG00000012674,0,1,0,0
ENSRNOG00000012686,0,0,0,1
ENSRNOG00000012843,0,0,0,1
ENSRNOG00000012972,0,0,1,2
ENSRNOG00000012975,0,0,0,1
ENSRNOG00000013042,0,1,0,0
ENSRNOG00000013241,0,0,1,0
ENSRNOG00000013291,0,0,1,0
ENSRNOG00000013331,0,1,0,0
ENSRNOG00000013552,0,1,1,2
ENSRNOG00000013656,0,1,0,0
ENSRNOG00000013794,0,0,0,1
ENSRNOG00000013949,0,1,0,1
ENSRNOG00000014254,0,2,2,1
ENSRNOG00000014311,0,0,0,1
ENSRNOG00000014361,0,0,0,1
ENSRNOG00000014369,0,0,1,1
ENSRNOG00000014462,0,1,0,0
ENSRNOG00000014645,1,1,0,1
ENSRNOG00000014718,0,2,2,2
ENSRNOG00000014870,0,1,0,1
ENSRNOG00000014915,0,0,0,1
ENSRNOG00000015036,0,2,1,1
ENSRNOG00000015052,0,0,1,1
ENSRNOG00000015519,0,2,1,1
ENSRNOG00000015582,0,1,0,1
ENSRNOG00000016097,0,0,0,1
ENSRNOG00000016122,0,0,1,1
ENSRNOG00000016265,0,2,1,1
